GEOTYPE|ST|GEOCOMP|GEO_ID|GEO_TTL|GEO_ID_F|NAICS2017|NAICS2017_TTL|NAICS2017_F|SECTOR|YEAR|FIRM|FIRM_F|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F|EMPQ1PW|EMPQ1PW_F|EMPQ2PW|EMPQ2PW_F|EMPQ3PW|EMPQ3PW_F|EMPQ4PW|EMPQ4PW_F|HOURS|HOURS_F|PAYANPW|PAYANPW_F|CSTMTOT|CSTMTOT_F|CSTMPRT|CSTMPRT_F|CSTRSL|CSTRSL_F|CSTFU|CSTFU_F|CSTELEC|CSTELEC_F|CSTCNT|CSTCNT_F|ELECPCH|ELECPCH_F|ELECGEN|ELECGEN_F|ELECSLD|ELECSLD_F|VALADD|VALADD_F|INVTOTB|INVTOTB_F|INVFINB|INVFINB_F|INVWIPB|INVWIPB_F|INVMATB|INVMATB_F|INVTOTE|INVTOTE_F|INVFINE|INVFINE_F|INVWIPE|INVWIPE_F|INVMATE|INVMATE_F|RPTOT|RPTOT_F|RPBLD|RPBLD_F|RPMCH|RPMCH_F|PCHTT|PCHTT_F|PCHTEMP|PCHTEMP_F|PCHCMPQ|PCHCMPQ_F|PCHEXSO|PCHEXSO_F|PCHDAPR|PCHDAPR_F|PCHCSVC|PCHCSVC_F|PCHRPR|PCHRPR_F|PCHRFUS|PCHRFUS_F|PCHADVT|PCHADVT_F|PCHPRTE|PCHPRTE_F|PCHTAX|PCHTAX_F|PCHOEXP|PCHOEXP_F
01|00|00|0100000US|United States||31311|Fiber, yarn, and thread mills||31|2017|240||296||7226716||809063||200439||22244||19806||19625||19437||19484||39766||646771||4820782||4515928||31831||29457||231072||12494||3844246||0||0||2386264||582386||272073||81978||228335||552311||248943||85438||217930||28944||22928||6016||325514||50599||3950||1366||4343||5433||66670||21178||5932||14211||21929||129903|
01|00|00|0100000US|United States||313110|Fiber, yarn, and thread mills||31|2017|240||296||7226716||809063||200439||22244||19806||19625||19437||19484||39766||646771||4820782||4515928||31831||29457||231072||12494||3844246||0||0||2386264||582386||272073||81978||228335||552311||248943||85438||217930||28944||22928||6016||325514||50599||3950||1366||4343||5433||66670||21178||5932||14211||21929||129903|
01|00|00|0100000US|United States||3132|Fabric mills||31|2017|762||844||13368804||2027034||503689||44006||35366||36110||36388||36324||73645||1357390||7181572||6383439||288196||83191||272088||154658||4138315||0|D|0|D|6201854||1567272||660756||365868||540648||1603042||678119||363127||561796||85948||66138||19810||999576||134659||12177||8912||9963||13810||151040||61832||21554||75029||54814||455786|
01|00|00|0100000US|United States||31321|Broadwoven fabric mills||31|2017|265||290||3895760||667564||161393||16267||14038||14381||14428||14386||28951||501541||2396544||2111213||85261||19628||99451||80991||1611149||0||0|D|1519107||566359||218946||164339||183074||589246||239705||163471||186070||17571||13814||3757||328254||37697||3322||1857||3218||3684||43617||14908||6375||17197||16961||179418|
01|00|00|0100000US|United States||313210|Broadwoven fabric mills||31|2017|265||290||3895760||667564||161393||16267||14038||14381||14428||14386||28951||501541||2396544||2111213||85261||19628||99451||80991||1611149||0||0|D|1519107||566359||218946||164339||183074||589246||239705||163471||186070||17571||13814||3757||328254||37697||3322||1857||3218||3684||43617||14908||6375||17197||16961||179418|
01|00|00|0100000US|United States||31322|Narrow fabric mills and schiffli machine embroidery||31|2017|171||178||911215||222045||52136||5379||4380||4380||4403||4364||8628||147653||394061||343464||27121||6644||14251||2581||177590||0||0|D|518634||150172||64292||34936||50944||153055||64999||35709||52347||10592||9282||1310||62571||5693||787||972||1318||1538||7977||3304||2566||7016||4314||27086|
01|00|00|0100000US|United States||313220|Narrow fabric mills and schiffli machine embroidery||31|2017|171||178||911215||222045||52136||5379||4380||4380||4403||4364||8628||147653||394061||343464||27121||6644||14251||2581||177590||0||0|D|518634||150172||64292||34936||50944||153055||64999||35709||52347||10592||9282||1310||62571||5693||787||972||1318||1538||7977||3304||2566||7016||4314||27086|
01|00|00|0100000US|United States||31323|Nonwoven fabric mills||31|2017|195||230||7171565||887900||234864||16331||12291||12603||12781||12484||26046||557838||3657145||3341267||109139||42659||137925||26155||2106124||0|D|0||3516509||641225||292463||117611||231151||660696||296021||116142||248533||47685||33983||13702||503837||79892||6443||5169||4567||6901||88539||35195||11061||43431||29573||193066|
01|00|00|0100000US|United States||313230|Nonwoven fabric mills||31|2017|195||230||7171565||887900||234864||16331||12291||12603||12781||12484||26046||557838||3657145||3341267||109139||42659||137925||26155||2106124||0|D|0||3516509||641225||292463||117611||231151||660696||296021||116142||248533||47685||33983||13702||503837||79892||6443||5169||4567||6901||88539||35195||11061||43431||29573||193066|
01|00|00|0100000US|United States||31324|Knit fabric mills||31|2017|143||146||1390264||249525||55296||6029||4657||4746||4776||5090||10020||150358||733822||587495||66675||14260||20461||44931||243452||0|D|0|D|647604||209516||85055||48982||75479||200045||77394||47805||74846||10100||9059||1041||104914||11377||1625||914||860||1687||10907||8425||1552||7385||3966||56216|
01|00|00|0100000US|United States||313240|Knit fabric mills||31|2017|143||146||1390264||249525||55296||6029||4657||4746||4776||5090||10020||150358||733822||587495||66675||14260||20461||44931||243452||0|D|0|D|647604||209516||85055||48982||75479||200045||77394||47805||74846||10100||9059||1041||104914||11377||1625||914||860||1687||10907||8425||1552||7385||3966||56216|
01|00|00|0100000US|United States||3133|Textile and fabric finishing and fabric coating mills||31|2017|797||839||7309812||1191152||288343||26759||20862||21095||20947||21011||41513||729783||4395434||3982453||162367||77857||103431||69326||1320288||0|D|0|D|2896859||901306||396176||178292||326838||895396||395519||161430||338447||74558||63456||11102||643471||80114||7321||5875||7708||9987||92208||45479||23725||44920||30225||295909|
01|00|00|0100000US|United States||31331|Textile and fabric finishing mills||31|2017|650||676||4920031||803259||196111||20041||16094||16077||15895||15941||31520||535976||2959194||2630232||127978||65604||82104||53276||1112920||0|D|0||1937521||588059||263484||132879||191696||558058||257577||115470||185011||48643||39875||8768||474100||50029||5063||3877||5828||6395||71752||36581||13025||25538||19427||236585|
01|00|00|0100000US|United States||313310|Textile and fabric finishing mills||31|2017|650||676||4920031||803259||196111||20041||16094||16077||15895||15941||31520||535976||2959194||2630232||127978||65604||82104||53276||1112920||0|D|0||1937521||588059||263484||132879||191696||558058||257577||115470||185011||48643||39875||8768||474100||50029||5063||3877||5828||6395||71752||36581||13025||25538||19427||236585|
